,Index,Entry Date,Entry Time,Exit Date,Exit Time,Type,Strike,B/S,Qty,Entry Price,Exit Price,Vix,P/L,Open,High,Low,Close,Prev. Close,Change,% Change
209,94.0,2024-06-27,9:16:00,2024-06-27,15:15:00,,,,,,,14.04,168.0,14.045,14.61,13.915,14.1525,14.045,0.11,0.77
210,94.1,2024-06-27,10:03:00,2024-06-27,15:15:00,CE,79800.0,Buy,10.0,74.1,90.9,,168.0,14.045,14.61,13.915,14.1525,14.045,0.11,0.77
211,95.0,2024-07-01,9:16:00,2024-07-01,15:15:00,,,,,,,13.8,-314.0,13.8025,14.2275,13.7925,13.83,13.8025,0.03,0.2
212,95.1,2024-07-01,9:42:00,2024-07-01,15:15:00,CE,81200.0,Buy,10.0,76.65,45.25,,-314.0,13.8025,14.2275,13.7925,13.83,13.8025,0.03,0.2
217,98.0,2024-07-10,9:16:00,2024-07-10,15:15:00,,,,,,,14.28,-37.5,14.28,14.915,13.4075,14.4325,14.28,0.15,1.07
218,98.1,2024-07-10,10:21:00,2024-07-10,15:15:00,PE,79000.0,Buy,10.0,67.55,63.8,,-37.5,14.28,14.915,13.4075,14.4325,14.28,0.15,1.07
224,101.0,2024-07-15,9:16:00,2024-07-15,15:15:00,,,,,,,14.24,-283.0,13.725,14.34,13.5675,14.1875,13.725,0.46,3.37
225,101.1,2024-07-15,9:17:00,2024-07-15,15:15:00,CE,82100.0,Buy,10.0,78.4,50.1,,-283.0,13.725,14.34,13.5675,14.1875,13.725,0.46,3.37
226,102.0,2024-07-18,9:16:00,2024-07-18,15:15:00,,,,,,,13.95,1432.5,14.2225,14.71,13.75,14.51,14.2225,0.29,2.02
227,102.1,2024-07-18,9:46:00,2024-07-18,15:15:00,CE,81500.0,Buy,10.0,69.9,213.15,,1432.5,14.2225,14.71,13.75,14.51,14.2225,0.29,2.02
228,103.0,2024-07-22,9:16:00,2024-07-22,15:15:00,,,,,,,15.29,29.5,14.825,15.625,13.115,15.4375,14.825,0.61,4.13
229,103.1,2024-07-22,9:31:00,2024-07-22,15:15:00,PE,77500.0,Buy,10.0,86.55,89.5,,29.5,14.825,15.625,13.115,15.4375,14.825,0.61,4.13
235,106.0,2024-07-25,9:16:00,2024-07-25,15:15:00,,,,,,,11.92,-190.5,11.7625,13.2175,11.275,12.6175,11.7625,0.86,7.27
236,106.1,2024-07-25,14:10:00,2024-07-25,15:15:00,CE,80700.0,Buy,10.0,75.5,56.45,,-190.5,11.7625,13.2175,11.275,12.6175,11.7625,0.86,7.27
239,108.0,2024-08-02,9:16:00,2024-08-02,15:15:00,,,,,,,13.42,-713.5,12.93,14.51,11.6925,14.32,12.93,1.39,10.75
240,108.1,2024-08-02,9:28:00,2024-08-02,15:15:00,CE,81900.0,Buy,10.0,71.55,0.2,,-713.5,12.93,14.51,11.6925,14.32,12.93,1.39,10.75
241,109.0,2024-08-05,9:16:00,2024-08-05,15:15:00,,,,,,,15.72,3500.0,14.32,23.1525,13.9075,20.3675,14.32,6.05,42.23
