open,high,low,close,adj close,volume,year,month,hour,day,day_name,candle_body,high_shadow,low_shadow,trend
69112.875,69372.8828125,69019.6640625,69259.125,69259.125,0,2024,3,3,16,Saturday,-146.25,260.0078125,-239.4609375,DOWN
69225.2890625,69279.4921875,68833.515625,69009.671875,69009.671875,0,2024,3,4,16,Saturday,215.6171875,54.203125,-176.15625,UP
69012.234375,69036.828125,68674.34375,69036.828125,69036.828125,0,2024,3,5,16,Saturday,-24.59375,24.59375,-362.484375,DOWN
68967.90625,69189.71875,68920.0859375,69180.2890625,69180.2890625,0,2024,3,6,16,Saturday,-212.3828125,221.8125,-260.203125,DOWN
69190.578125,69384.0234375,69144.0390625,69384.0234375,69384.0234375,0,2024,3,7,16,Saturday,-193.4453125,193.4453125,-239.984375,DOWN
69339.5078125,69339.5078125,68970.7890625,68970.7890625,68970.7890625,0,2024,3,8,16,Saturday,368.71875,0.0,0.0,UP
68989.765625,69100.359375,68860.9296875,68969.484375,68969.484375,0,2024,3,9,16,Saturday,20.28125,110.59375,-108.5546875,UP
68978.9765625,68978.9765625,68400.5859375,68400.6640625,68400.6640625,0,2024,3,10,16,Saturday,578.3125,0.0,-0.078125,UP
68411.578125,68502.5234375,67775.359375,68327.2421875,68327.2421875,0,2024,3,11,16,Saturday,84.3359375,90.9453125,-551.8828125,UP
68260.375,68417.1640625,67888.5859375,67939.953125,67939.953125,0,2024,3,12,16,Saturday,320.421875,156.7890625,-51.3671875,UP
67868.8515625,68216.84375,67722.3671875,67722.3671875,67722.3671875,0,2024,3,13,16,Saturday,146.484375,347.9921875,0.0,UP
67700.71875,68126.0390625,67542.53125,68126.0390625,68126.0390625,0,2024,3,14,16,Saturday,-425.3203125,425.3203125,-583.5078125,DOWN
68181.2578125,68441.9296875,67915.59375,68373.703125,68373.703125,0,2024,3,15,16,Saturday,-192.4453125,260.671875,-458.109375,DOWN
68362.3359375,68362.8671875,68125.8125,68153.4375,68153.4375,0,2024,3,16,16,Saturday,208.8984375,0.53125,-27.625,UP
68181.2578125,68194.484375,67291.0703125,67291.0703125,67291.0703125,0,2024,3,17,16,Saturday,890.1875,13.2265625,0.0,UP
67217.25,67217.25,66667.5390625,66912.09375,66912.09375,245669888,2024,3,18,16,Saturday,305.15625,0.0,-244.5546875,UP
67072.2265625,67608.5078125,66900.53125,66900.53125,66900.53125,0,2024,3,19,16,Saturday,171.6953125,536.28125,0.0,UP
66953.5703125,67478.1796875,66749.3125,67167.5,67167.5,0,2024,3,20,16,Saturday,-213.9296875,524.609375,-418.1875,DOWN
67113.9375,67165.875,66095.25,66280.765625,66280.765625,821043200,2024,3,21,16,Saturday,833.171875,51.9375,-185.515625,UP
66192.140625,66646.625,65841.203125,66345.609375,66345.609375,707993600,2024,3,22,16,Saturday,-153.46875,454.484375,-504.40625,DOWN
66279.2578125,66279.2578125,65222.44140625,65321.359375,65321.359375,2431283200,2024,3,23,16,Saturday,957.8984375,0.0,-98.91796875,UP
65258.34765625,66236.0546875,65258.34765625,65335.8125,65335.8125,1124417536,2024,3,0,17,Sunday,-77.46484375,977.70703125,-77.46484375,DOWN
65594.8046875,66090.53125,65594.8046875,66090.53125,66090.53125,927506432,2024,3,1,17,Sunday,-495.7265625,495.7265625,-495.7265625,DOWN
66103.0,66471.4921875,66030.7421875,66320.2265625,66320.2265625,474365952,2024,3,2,17,Sunday,-217.2265625,368.4921875,-289.484375,DOWN
66318.65625,66518.265625,66184.8828125,66473.3828125,66473.3828125,74498048,2024,3,3,17,Sunday,-154.7265625,199.609375,-288.5,DOWN
66510.6328125,66510.6328125,66269.4609375,66336.9609375,66336.9609375,0,2024,3,4,17,Sunday,173.671875,0.0,-67.5,UP
66320.75,66492.4140625,66044.4921875,66179.9609375,66179.9609375,0,2024,3,5,17,Sunday,140.7890625,171.6640625,-135.46875,UP
66193.484375,66309.046875,65060.80859375,65060.80859375,65060.80859375,746905600,2024,3,6,17,Sunday,1132.67578125,115.5625,0.0,UP
65015.3046875,65660.8515625,64600.9609375,65660.8515625,65660.8515625,3043282944,2024,3,7,17,Sunday,-645.546875,645.546875,-1059.890625,DOWN
65556.7265625,66536.8984375,65348.828125,66536.8984375,66536.8984375,1192964096,2024,3,8,17,Sunday,-980.171875,980.171875,-1188.0703125,DOWN
66436.3515625,66706.1953125,66256.75,66368.2734375,66368.2734375,835088384,2024,3,9,17,Sunday,68.078125,269.84375,-111.5234375,UP
66430.609375,67214.609375,66380.9609375,67052.75,67052.75,474996736,2024,3,10,17,Sunday,-622.140625,784.0,-671.7890625,DOWN
67040.78125,67339.359375,66861.8828125,66861.8828125,66861.8828125,0,2024,3,11,17,Sunday,178.8984375,298.578125,0.0,UP
66936.4140625,67301.21875,66427.8203125,66506.8984375,66506.8984375,2928640,2024,3,12,17,Sunday,429.515625,364.8046875,-79.078125,UP
66607.9375,67299.8984375,66607.9375,66980.71875,66980.71875,67919872,2024,3,13,17,Sunday,-372.78125,691.9609375,-372.78125,DOWN
67031.09375,67498.4375,66859.4140625,67498.4375,67498.4375,0,2024,3,14,17,Sunday,-467.34375,467.34375,-639.0234375,DOWN
67473.734375,68009.4609375,67238.6015625,67879.8828125,67879.8828125,564936704,2024,3,15,17,Sunday,-406.1484375,535.7265625,-641.28125,DOWN
67889.140625,68311.078125,67710.46875,67997.5625,67997.5625,736509952,2024,3,16,17,Sunday,-108.421875,421.9375,-287.09375,DOWN
67993.7890625,68526.7890625,67902.109375,68520.0546875,68520.0546875,0,2024,3,17,17,Sunday,-526.265625,533.0,-617.9453125,DOWN
68444.9453125,68464.109375,68084.9765625,68114.3515625,68114.3515625,0,2024,3,18,17,Sunday,330.59375,19.1640625,-29.375,UP
68137.2734375,68507.6953125,68104.109375,68507.6953125,68507.6953125,0,2024,3,19,17,Sunday,-370.421875,370.421875,-403.5859375,DOWN
68511.9453125,68613.796875,68251.5078125,68251.5078125,68251.5078125,0,2024,3,20,17,Sunday,260.4375,101.8515625,0.0,UP
68299.078125,68324.65625,68012.9296875,68112.078125,68112.078125,0,2024,3,21,17,Sunday,187.0,25.578125,-99.1484375,UP
68123.6171875,68796.46875,68123.6171875,68232.65625,68232.65625,0,2024,3,22,17,Sunday,-109.0390625,672.8515625,-109.0390625,DOWN
68206.0625,68576.3515625,68075.8046875,68405.4765625,68405.4765625,0,2024,3,23,17,Sunday,-199.4140625,370.2890625,-329.671875,DOWN
68362.828125,68362.828125,67265.09375,67265.09375,67265.09375,0,2024,3,0,18,Monday,1097.734375,0.0,0.0,UP
67248.9296875,67676.4765625,66811.5546875,67630.234375,67630.234375,0,2024,3,1,18,Monday,-381.3046875,427.546875,-818.6796875,DOWN
67608.4296875,68072.0234375,67391.1875,67720.0703125,67720.0703125,0,2024,3,2,18,Monday,-111.640625,463.59375,-328.8828125,DOWN
67850.4375,68053.4765625,67850.4375,67892.09375,67892.09375,181215232,2024,3,3,18,Monday,-41.65625,203.0390625,-41.65625,DOWN
67827.6484375,68483.1953125,67675.8671875,68367.1796875,68367.1796875,698630144,2024,3,4,18,Monday,-539.53125,655.546875,-691.3125,DOWN
