,high,low,open,close,year,month,day,hour,day_name,max,min,difference,candle_body,high_shadow,low_shadow,low-open,high-open,trend,7_EMA,15_EMA,50_EMA,200_EMA
2023-08-18,26218.599609375,26012.9296875,26041.326171875,26045.61328125,2023,8,18,20,Friday,26218.599609375,26012.9296875,205.669921875,-4.287109375,172.986328125,-28.396484375,-28.396484375,177.2734375,UP,26462.75504852818,27201.497271025426,28411.68538237525,29142.415464566468
2023-08-19,26135.498046875,25928.1796875,26047.83203125,25954.810546875,2023,8,19,0,Saturday,26135.498046875,25928.1796875,207.318359375,93.021484375,87.666015625,-26.630859375,-119.65234375,87.666015625,DOWN,26335.768923114883,27045.66143050662,28315.337349610534,29110.698002698893
2023-08-19,25995.1875,25802.408203125,25958.32421875,25905.39453125,2023,8,19,4,Saturday,25995.1875,25802.408203125,192.779296875,52.9296875,36.86328125,-102.986328125,-155.916015625,36.86328125,DOWN,26228.175325148663,26903.128068099544,28220.8297881062,29078.804435818805
2023-08-19,25982.96875,25887.310546875,25907.66796875,25902.193359375,2023,8,19,8,Saturday,25982.96875,25887.310546875,95.658203125,5.474609375,75.30078125,-14.8828125,-20.357421875,75.30078125,DOWN,26146.679833705246,26778.011229508975,28129.902869332425,29047.19636540643
2023-08-19,26198.841796875,25871.46484375,25901.60546875,26189.697265625,2023,8,19,12,Saturday,26198.841796875,25871.46484375,327.376953125,-288.091796875,9.14453125,-30.140625,-30.140625,297.236328125,UP,26157.434191685184,26704.47198402348,28053.81637506939,29018.76353854294
2023-08-19,26249.44921875,26034.53515625,26212.216796875,26137.17578125,2023,8,19,16,Saturday,26249.44921875,26034.53515625,214.9140625,75.041015625,37.232421875,-102.640625,-177.681640625,37.232421875,DOWN,26152.36958907639,26633.559958676793,27978.65399884118,28990.091023545
2023-08-19,26151.865234375,26046.818359375,26135.201171875,26085.64453125,2023,8,19,20,Saturday,26151.865234375,26046.818359375,105.046875,49.556640625,16.6640625,-38.826171875,-88.3828125,16.6640625,DOWN,26135.68832461979,26565.070530248442,27904.418333445446,28961.191058447537
2023-08-20,26184.40234375,26047.1796875,26096.861328125,26104.375,2023,8,20,0,Sunday,26184.40234375,26047.1796875,137.22265625,-7.513671875,80.02734375,-49.681640625,-49.681640625,87.541015625,UP,26127.859993464845,26507.483588967385,27833.828398800528,28932.765028015223
2023-08-20,26153.830078125,26059.396484375,26104.15234375,26083.68359375,2023,8,20,4,Sunday,26153.830078125,26059.396484375,94.43359375,20.46875,49.677734375,-24.287109375,-44.755859375,49.677734375,DOWN,26116.815893536135,26454.508589565212,27765.195269190703,28904.415959017562
2023-08-20,26197.359375,26063.875,26083.705078125,26179.69140625,2023,8,20,8,Sunday,26197.359375,26063.875,133.484375,-95.986328125,17.66796875,-19.830078125,-19.830078125,113.654296875,UP,26132.5347717146,26420.15644165081,27703.018647114597,28877.304271925346
2023-08-20,26210.970703125,26004.314453125,26180.517578125,26089.05078125,2023,8,20,12,Sunday,26210.970703125,26004.314453125,206.65625,91.466796875,30.453125,-84.736328125,-176.203125,30.453125,DOWN,26121.66377409845,26378.76823410071,27639.725789629712,28849.56045609773
2023-08-20,26148.541015625,26028.328125,26101.712890625,26133.8671875,2023,8,20,16,Sunday,26148.541015625,26028.328125,120.212890625,-32.154296875,14.673828125,-73.384765625,-73.384765625,46.828125,UP,26124.71462744884,26348.15560327562,27580.672511114823,28822.538632529595
